structure,device,n_threads,torchref_mean,torchref_min,torchref_max,torchref_speedup,torchref_efficiency,torchref_fwd_graph_mean,torchref_fwd_graph_min,torchref_fwd_graph_max,torchref_fwd_graph_speedup,torchref_bwd_only_mean,torchref_bwd_only_min,torchref_bwd_only_max,torchref_bwd_only_speedup,torchref_fwd_bwd_mean,torchref_fwd_bwd_min,torchref_fwd_bwd_max,torchref_fwd_bwd_speedup,cctbx_mean,cctbx_min,cctbx_max,cctbx_speedup,cctbx_efficiency,n_iterations,n_atoms,n_reflections,d_min
6G9X,cpu,4,0.083323,0.082254,0.085528,2.483,0.621,0.085571,0.083556,0.092261,2.424,0.167321,0.165313,0.169278,2.774,0.253374,0.250543,0.255858,2.676,0.295060,0.286848,0.305575,0.925,0.231,10,5932,62293,2.301983118057251
6G9X,cpu,8,0.044955,0.044617,0.045277,4.602,0.575,0.045381,0.044685,0.047322,4.570,0.086823,0.085046,0.088883,5.346,0.133594,0.129502,0.138085,5.075,0.274392,0.273200,0.277783,0.994,0.124,10,5932,62293,2.301983118057251
6G9X,cpu,16,0.031886,0.029873,0.033760,6.489,0.406,0.030209,0.029231,0.031605,6.865,0.055838,0.053880,0.056965,8.312,0.087184,0.084834,0.089514,7.776,0.276835,0.273674,0.282437,0.986,0.062,10,5932,62293,2.301983118057251
6G9X,cpu,32,0.020137,0.019927,0.020554,10.275,0.321,0.020791,0.020001,0.022267,9.975,0.039095,0.037838,0.040419,11.872,0.059274,0.057498,0.061377,11.438,0.276078,0.273421,0.282247,0.988,0.031,10,5932,62293,2.301983118057251
1DAW,gpu,0,0.000716,0.000682,0.000787,90.797,,0.000714,0.000655,0.000806,90.436,0.000813,0.000679,0.001251,99.186,0.001515,0.001350,0.001758,95.980,,,,,,10,3051,23356,2.050076961517334
2DQ6,gpu,0,0.002627,0.002608,0.002683,190.582,,0.002638,0.002614,0.002752,189.671,0.003014,0.002934,0.003060,185.697,0.005500,0.005464,0.005575,193.538,,,,,,10,8066,228276,1.5000840425491333
3A5V,gpu,0,0.001336,0.001222,0.001824,125.548,,0.001365,0.001307,0.001456,122.865,0.001374,0.001284,0.001445,123.355,0.002506,0.002364,0.002598,134.989,,,,,,10,3896,45408,2.0000617504119873
3E98,gpu,0,0.000552,0.000542,0.000568,79.218,,0.000572,0.000564,0.000576,76.622,0.000624,0.000592,0.000768,82.326,0.001217,0.001187,0.001265,77.864,,,,,,10,2791,20486,2.4300224781036377
3GR5,gpu,0,0.000790,0.000781,0.000813,88.978,,0.000819,0.000791,0.000856,79.661,0.000892,0.000818,0.000963,75.844,0.001595,0.001524,0.001762,85.466,,,,,,10,1329,20942,2.0505521297454834
3K7M,gpu,0,0.001917,0.001907,0.001935,167.296,,0.001947,0.001913,0.002044,164.998,0.002079,0.001990,0.002174,157.735,0.003877,0.003851,0.003955,167.658,,,,,,10,4048,55080,1.9523898363113403
3VRJ,gpu,0,0.000628,0.000617,0.000648,107.039,,0.000629,0.000622,0.000638,107.687,0.000943,0.000779,0.001026,86.261,0.001401,0.001297,0.001565,106.124,,,,,,10,3609,34613,1.9000064134597778
4BX9,gpu,0,0.002570,0.002489,0.002818,104.156,,0.002540,0.002508,0.002637,105.375,0.002807,0.002681,0.003133,185.447,0.005153,0.005101,0.005379,153.084,,,,,,10,10193,68468,2.6000428199768066
5BOV,gpu,0,0.002342,0.002316,0.002364,141.848,,0.002398,0.002339,0.002580,137.205,0.003256,0.003218,0.003320,217.039,0.005426,0.005382,0.005547,191.651,,,,,,10,11415,150946,1.6000231504440308
6G9X,gpu,0,0.002107,0.002090,0.002136,98.204,,0.002139,0.002115,0.002240,96.943,0.002268,0.002175,0.002304,204.652,0.004251,0.004205,0.004381,159.479,,,,,,10,5932,62293,2.301983118057251
