# Per-energy-type atom properties from the CCP4 monomer library ener_lib.cif (_lib_atom loop).
# hb_type: N neither, D donor, A acceptor, B both, H hydrogen able to hydrogen-bond.
# vdw_radius: contact radius in Angstrom; vdwh_radius: radius to use when the atom's own hydrogens are not modelled.
# Regenerate with python -m torchref.scripts.extract_ener_lib
type,element,hb_type,vdw_radius,vdwh_radius,ion_radius
TC,TC,N,1.35,1.35,0.51
RE,RE,N,1.35,1.35,0.52
BH,BH,N,,,
FE,FE,N,1.40,1.40,0.68
RU,RU,N,1.30,1.30,0.52
OSE,OS,N,1.30,1.30,0.53
HS,HS,N,,,
CO,CO,N,1.35,1.35,0.54
RH,RH,N,1.35,1.35,0.69
IR,IR,N,1.35,1.35,0.71
MT,MT,N,,,
NI,NI,N,1.63,1.63,0.63
PD,PD,N,1.63,1.63,0.78
PT,PT,N,1.75,1.75,0.71
CU,CU,N,1.40,1.40,0.71
AG,AG,N,1.72,1.72,0.81
AU,AU,N,1.66,1.66,0.71
ZN,ZN,N,1.39,1.39,0.74
CD,CD,N,1.58,1.58,0.92
HG,HG,N,1.55,1.55,1.10
B,B,N,0.85,0.85,0.25
AL,AL,N,1.25,1.25,0.53
GA,GA,N,1.87,1.87,0.61
IN,IN,N,1.93,1.93,0.76
TL,TL,N,1.96,1.96,0.89
AS,AS,N,1.85,1.85,0.475
AS1,AS,N,1.85,1.85,0.475
SB,SB,N,1.8,1.8,0.90
BI,BI,N,1.8,1.8,0.90
SE,SE,N,1.90,1.90,0.42
TE,TE,N,2.06,2.06,0.57
PO,PO,N,2.0,2.0,0.81
F,F,B,1.47,1.47,1.19
CL,CL,A,1.75,1.75,1.67
BR,BR,N,1.85,1.85,0.73
I,I,N,1.98,1.98,0.56
AT,AT,N,1.80,1.80,0.76
HE,HE,N,1.40,1.40,
NE,NE,N,1.54,1.54,1.12
AR,AR,N,1.88,1.88,1.54
KR,KR,N,2.02,2.02,1.69
XE,XE,N,2.16,2.16,1.90
RN,RN,N,2.20,2.20,2.0
DUM,O,N,0.6,0.6,0.6
.,C,B,1.7,1.5,1.7
