device,n_threads,agg_fwd_no_grad_mean,agg_fwd_no_grad_min,agg_fwd_no_grad_max,agg_fwd_no_grad_speedup,agg_fwd_graph_mean,agg_fwd_graph_min,agg_fwd_graph_max,agg_fwd_graph_speedup,agg_bwd_only_mean,agg_bwd_only_min,agg_bwd_only_max,agg_bwd_only_speedup,agg_fwd_bwd_mean,agg_fwd_bwd_min,agg_fwd_bwd_max,agg_fwd_bwd_speedup,target_xray_mean,target_geometry_total_mean,target_adp_total_mean,n_iterations,n_atoms,n_reflections,d_min
cpu,1,0.141968,0.136756,0.148312,1.000,0.143666,0.141142,0.149193,1.000,0.144283,0.138751,0.161011,1.000,0.289148,0.285656,0.293259,1.000,0.234726,0.046557,0.003999,10,3051,23356,2.050076961517334
cpu,2,0.089903,0.087852,0.093565,1.579,0.094736,0.093439,0.096930,1.516,0.088527,0.084588,0.105350,1.630,0.178868,0.177735,0.180484,1.617,0.137834,0.036583,0.003670,10,3051,23356,2.050076961517334
cpu,4,0.063858,0.062756,0.068460,2.223,0.067002,0.066473,0.067963,2.144,0.056763,0.054017,0.076274,2.542,0.120840,0.120339,0.121638,2.393,0.090163,0.027799,0.003165,10,3051,23356,2.050076961517334
cpu,8,0.049289,0.048722,0.050008,2.880,0.052763,0.052060,0.053677,2.723,0.041836,0.038705,0.058878,3.449,0.091781,0.090013,0.094506,3.150,0.063738,0.023632,0.003009,10,3051,23356,2.050076961517334
cpu,16,0.040398,0.039977,0.040729,3.514,0.044067,0.043229,0.045416,3.260,0.035553,0.032297,0.055311,4.058,0.077487,0.075333,0.079049,3.732,0.051894,0.021907,0.003046,10,3051,23356,2.050076961517334
gpu,0,0.006344,0.006270,0.006477,22.377,0.006863,0.006841,0.006913,20.933,0.004449,0.004302,0.004918,32.430,0.011351,0.011087,0.012211,25.472,0.004753,0.007021,0.003178,10,3051,23356,2.050076961517334
