device,n_threads,agg_fwd_no_grad_mean,agg_fwd_no_grad_min,agg_fwd_no_grad_max,agg_fwd_no_grad_speedup,agg_fwd_graph_mean,agg_fwd_graph_min,agg_fwd_graph_max,agg_fwd_graph_speedup,agg_bwd_only_mean,agg_bwd_only_min,agg_bwd_only_max,agg_bwd_only_speedup,agg_fwd_bwd_mean,agg_fwd_bwd_min,agg_fwd_bwd_max,agg_fwd_bwd_speedup,target_xray_mean,target_geometry_total_mean,target_adp_total_mean,n_iterations,n_atoms,n_reflections,d_min
cpu,1,0.138605,0.135676,0.142657,1.000,0.144546,0.140891,0.151539,1.000,0.144814,0.138075,0.167430,1.000,0.286138,0.281823,0.289901,1.000,0.231809,0.046469,0.003922,10,3051,23356,2.050076961517334
cpu,2,0.089142,0.088479,0.089813,1.555,0.093702,0.091894,0.095152,1.543,0.088512,0.084219,0.106988,1.636,0.179915,0.177532,0.183186,1.590,0.138859,0.036298,0.003657,10,3051,23356,2.050076961517334
cpu,4,0.063289,0.062928,0.063795,2.190,0.067549,0.066930,0.069193,2.140,0.057811,0.054091,0.076506,2.505,0.123812,0.122254,0.126487,2.311,0.091146,0.028054,0.003191,10,3051,23356,2.050076961517334
cpu,8,0.050355,0.049062,0.052912,2.753,0.053056,0.052284,0.053498,2.724,0.041168,0.038227,0.060780,3.518,0.092423,0.090547,0.095217,3.096,0.064522,0.023545,0.002986,10,3051,23356,2.050076961517334
cpu,16,0.040736,0.040490,0.041097,3.402,0.044478,0.043702,0.045940,3.250,0.034963,0.032318,0.053668,4.142,0.078218,0.076369,0.080452,3.658,0.050174,0.022568,0.003109,10,3051,23356,2.050076961517334
gpu,0,0.006289,0.006212,0.006426,22.040,0.006793,0.006752,0.006854,21.280,0.004275,0.004204,0.004562,33.875,0.011091,0.010980,0.011465,25.799,0.004795,0.006772,0.003111,10,3051,23356,2.050076961517334
