metric,reference,d_min,running_median_pp
R-free,REFMAC,2.200009,0.45
R-free,REFMAC,2.20001,0.45
R-free,REFMAC,2.200018,0.4
R-free,REFMAC,2.20002,0.45
R-free,REFMAC,2.200026,0.45
R-free,REFMAC,2.200029,0.45
R-free,REFMAC,2.200033,0.45
R-free,REFMAC,2.200036,0.45
R-free,REFMAC,2.200037,0.45
R-free,REFMAC,2.200039,0.45
R-free,REFMAC,2.200046,0.45
R-free,REFMAC,2.200047,0.45
R-free,REFMAC,2.200051,0.45
R-free,REFMAC,2.200057,0.45
R-free,REFMAC,2.200096,0.45
R-free,REFMAC,2.200241,0.45
R-free,REFMAC,2.200494,0.4
R-free,REFMAC,2.20057,0.4
R-free,REFMAC,2.201062,0.4
R-free,REFMAC,2.202012,0.4
R-free,REFMAC,2.202578,0.4
R-free,REFMAC,2.202589,0.4
R-free,REFMAC,2.203287,0.45
R-free,REFMAC,2.206465,0.45
R-free,REFMAC,2.210001,0.45
R-free,REFMAC,2.217328,0.45
R-free,REFMAC,2.21973,0.46
R-free,REFMAC,2.222293,0.46
R-free,REFMAC,2.225396,0.45
R-free,REFMAC,2.225953,0.45
R-free,REFMAC,2.228005,0.45
R-free,REFMAC,2.239024,0.45
R-free,REFMAC,2.240542,0.45
R-free,REFMAC,2.241193,0.46
R-free,REFMAC,2.246022,0.46
R-free,REFMAC,2.248756,0.46
R-free,REFMAC,2.249991,0.46
R-free,REFMAC,2.250001,0.46
R-free,REFMAC,2.250007,0.46
R-free,REFMAC,2.250094,0.46
R-free,REFMAC,2.250901,0.49
R-free,REFMAC,2.254547,0.51
R-free,REFMAC,2.269217,0.51
R-free,REFMAC,2.270042,0.51
R-free,REFMAC,2.272001,0.52
R-free,REFMAC,2.272762,0.52
R-free,REFMAC,2.280005,0.52
R-free,REFMAC,2.280053,0.51
R-free,REFMAC,2.282618,0.51
R-free,REFMAC,2.283683,0.52
R-free,REFMAC,2.288015,0.52
R-free,REFMAC,2.292019,0.52
R-free,REFMAC,2.295029,0.53
R-free,REFMAC,2.29676,0.53
R-free,REFMAC,2.297646,0.53
R-free,REFMAC,2.298366,0.53
R-free,REFMAC,2.299038,0.53
R-free,REFMAC,2.299122,0.54
R-free,REFMAC,2.299922,0.54
R-free,REFMAC,2.299984,0.54
R-free,REFMAC,2.299988,0.55
R-free,REFMAC,2.299991,0.55
R-free,REFMAC,2.30001,0.55
R-free,REFMAC,2.300016,0.55
R-free,REFMAC,2.300017,0.55
R-free,REFMAC,2.300025,0.55
R-free,REFMAC,2.300028,0.58
R-free,REFMAC,2.300033,0.58
R-free,REFMAC,2.300037,0.59
R-free,REFMAC,2.300042,0.59
R-free,REFMAC,2.300049,0.6
R-free,REFMAC,2.300059,0.59
R-free,REFMAC,2.300066,0.6
R-free,REFMAC,2.300078,0.6
R-free,REFMAC,2.300098,0.6
R-free,REFMAC,2.3001,0.6
R-free,REFMAC,2.300228,0.61
R-free,REFMAC,2.300266,0.61
R-free,REFMAC,2.300281,0.6
R-free,REFMAC,2.300425,0.6
R-free,REFMAC,2.300671,0.6
R-free,REFMAC,2.301516,0.6
R-free,REFMAC,2.301586,0.6
R-free,REFMAC,2.30573,0.6
R-free,REFMAC,2.306743,0.61
R-free,REFMAC,2.30964,0.61
R-free,REFMAC,2.313724,0.61
R-free,REFMAC,2.320756,0.64
R-free,REFMAC,2.329002,0.65
R-free,REFMAC,2.330042,0.65
R-free,REFMAC,2.341774,0.64
R-free,REFMAC,2.346019,0.66
R-free,REFMAC,2.347882,0.64
R-free,REFMAC,2.34961,0.64
R-free,REFMAC,2.350032,0.66
R-free,REFMAC,2.35263,0.66
R-free,REFMAC,2.366721,0.66
R-free,REFMAC,2.373732,0.67
R-free,REFMAC,2.377253,0.67
R-free,REFMAC,2.391001,0.67
R-free,REFMAC,2.393315,0.67
R-free,REFMAC,2.398087,0.67
R-free,REFMAC,2.398485,0.67
R-free,REFMAC,2.398661,0.68
R-free,REFMAC,2.399897,0.68
R-free,REFMAC,2.399966,0.69
R-free,REFMAC,2.39998,0.69
R-free,REFMAC,2.400001,0.7
R-free,REFMAC,2.400006,0.7
R-free,REFMAC,2.400013,0.7
R-free,REFMAC,2.400036,0.69
R-free,REFMAC,2.400066,0.69
R-free,REFMAC,2.400091,0.69
R-free,REFMAC,2.400097,0.69
R-free,REFMAC,2.400123,0.69
R-free,REFMAC,2.400189,0.69
R-free,REFMAC,2.40043,0.68
R-free,REFMAC,2.401122,0.68
R-free,REFMAC,2.402722,0.68
R-free,REFMAC,2.402827,0.68
R-free,REFMAC,2.403713,0.68
R-free,REFMAC,2.405085,0.68
R-free,REFMAC,2.405941,0.68
R-free,REFMAC,2.41383,0.68
R-free,REFMAC,2.414079,0.68
R-free,REFMAC,2.426943,0.67
R-free,REFMAC,2.430022,0.68
R-free,REFMAC,2.432614,0.68
R-free,REFMAC,2.434069,0.67
R-free,REFMAC,2.438061,0.68
R-free,REFMAC,2.450007,0.69
R-free,REFMAC,2.450655,0.69
R-free,REFMAC,2.453912,0.69
R-free,REFMAC,2.45894,0.7
R-free,REFMAC,2.470881,0.7
R-free,REFMAC,2.475763,0.69
R-free,REFMAC,2.483102,0.69
R-free,REFMAC,2.485034,0.69
R-free,REFMAC,2.489373,0.7
R-free,REFMAC,2.494743,0.69
R-free,REFMAC,2.495086,0.69
R-free,REFMAC,2.495321,0.7
R-free,REFMAC,2.495882,0.7
R-free,REFMAC,2.496041,0.7
R-free,REFMAC,2.496605,0.69
R-free,REFMAC,2.497232,0.69
R-free,REFMAC,2.499953,0.7
R-free,REFMAC,2.500007,0.69
R-free,REFMAC,2.500012,0.69
R-free,REFMAC,2.500013,0.69
R-free,REFMAC,2.500014,0.7
R-free,REFMAC,2.500026,0.75
R-free,REFMAC,2.500029,0.78
R-free,REFMAC,2.500032,0.78
R-free,REFMAC,2.500035,0.78
R-free,REFMAC,2.500048,0.78
R-free,REFMAC,2.500056,0.78
R-free,REFMAC,2.500062,0.75
R-free,REFMAC,2.500125,0.75
R-free,REFMAC,2.500129,0.75
R-free,REFMAC,2.500178,0.75
R-free,REFMAC,2.500252,0.75
R-free,REFMAC,2.500386,0.75
R-free,REFMAC,2.500386,0.78
R-free,REFMAC,2.500453,0.78
R-free,REFMAC,2.500748,0.75
R-free,REFMAC,2.500937,0.75
R-free,REFMAC,2.501158,0.75
R-free,REFMAC,2.50161,0.75
R-free,REFMAC,2.501853,0.75
R-free,REFMAC,2.502024,0.75
R-free,REFMAC,2.502891,0.75
R-free,REFMAC,2.503104,0.75
R-free,REFMAC,2.503524,0.7
R-free,REFMAC,2.504823,0.75
R-free,REFMAC,2.50596,0.78
R-free,REFMAC,2.508673,0.83
R-free,REFMAC,2.509007,0.83
R-free,REFMAC,2.511469,0.83
R-free,REFMAC,2.517931,0.83
R-free,REFMAC,2.519944,0.88
R-free,REFMAC,2.520025,0.88
R-free,REFMAC,2.534542,0.88
R-free,REFMAC,2.540323,0.88
R-free,REFMAC,2.550018,0.88
R-free,REFMAC,2.554628,0.88
R-free,REFMAC,2.580052,0.88
R-free,REFMAC,2.582427,0.88
R-free,REFMAC,2.583379,0.89
R-free,REFMAC,2.58779,0.89
R-free,REFMAC,2.589994,0.89
R-free,REFMAC,2.593267,0.89
R-free,REFMAC,2.593823,0.89
R-free,REFMAC,2.59451,0.89
