panel,gi,ai,geometry_weight,adp_weight,value,n_structures,is_locked_default
median R-free,5,6,0.046416,0.1,0.3234,47,0
median R-free,5,7,0.046416,0.215443,0.3306,47,0
median R-free,5,8,0.046416,0.464159,0.3357,47,0
median R-free,5,9,0.046416,1.0,0.3435,47,0
median R-free,6,0,0.1,0.001,0.31,47,0
median R-free,6,1,0.1,0.002154,0.3043,47,0
median R-free,6,2,0.1,0.004642,0.2984,47,0
median R-free,6,3,0.1,0.01,0.3051,47,0
median R-free,6,4,0.1,0.021544,0.3089,47,0
median R-free,6,5,0.1,0.046416,0.3122,47,0
median R-free,6,6,0.1,0.1,0.3185,47,0
median R-free,6,7,0.1,0.215443,0.3266,47,0
median R-free,6,8,0.1,0.464159,0.3349,47,0
median R-free,6,9,0.1,1.0,0.3398,47,0
median R-free,7,0,0.215443,0.001,0.3073,47,0
median R-free,7,1,0.215443,0.002154,0.3032,47,0
median R-free,7,2,0.215443,0.004642,0.3053,47,0
median R-free,7,3,0.215443,0.01,0.2989,47,0
median R-free,7,4,0.215443,0.021544,0.3047,47,1
median R-free,7,5,0.215443,0.046416,0.3082,47,0
median R-free,7,6,0.215443,0.1,0.3171,47,0
median R-free,7,7,0.215443,0.215443,0.3248,47,0
median R-free,7,8,0.215443,0.464159,0.3285,47,0
median R-free,7,9,0.215443,1.0,0.338,47,0
median R-free,8,0,0.464159,0.001,0.3135,47,0
median R-free,8,1,0.464159,0.002154,0.3098,47,0
median R-free,8,2,0.464159,0.004642,0.3033,47,0
median R-free,8,3,0.464159,0.01,0.3038,47,0
median R-free,8,4,0.464159,0.021544,0.3052,47,0
median R-free,8,5,0.464159,0.046416,0.3143,47,0
median R-free,8,6,0.464159,0.1,0.3179,47,0
median R-free,8,7,0.464159,0.215443,0.3256,47,0
median R-free,8,8,0.464159,0.464159,0.3323,47,0
median R-free,8,9,0.464159,1.0,0.3373,47,0
median R-free,9,0,1.0,0.001,0.3229,47,0
median R-free,9,1,1.0,0.002154,0.3192,47,0
median R-free,9,2,1.0,0.004642,0.3184,47,0
median R-free,9,3,1.0,0.01,0.3199,47,0
median R-free,9,4,1.0,0.021544,0.3209,47,0
median R-free,9,5,1.0,0.046416,0.3308,47,0
median R-free,9,6,1.0,0.1,0.3315,47,0
median R-free,9,7,1.0,0.215443,0.3337,47,0
median R-free,9,8,1.0,0.464159,0.3519,47,0
median R-free,9,9,1.0,1.0,0.3539,47,0
