engine,box_position,code,runtime_min
nll_beta,0,2BTY,2.576667
nll_beta,0,2C8X,0.95
nll_beta,0,2C90,0.468333
nll_beta,0,2CB4,6.94
nll_beta,0,2CCH,3.121667
nll_beta,0,2CCM,0.776667
nll_beta,0,2CKL,1.14
nll_beta,0,2CZV,1.136667
nll_beta,0,2D0T,2.063333
nll_beta,0,2D68,0.835
nll_beta,0,2DOB,0.438333
nll_beta,0,2DQ6,3.165
nll_beta,0,2DRY,0.978333
nll_beta,0,2DX6,1.473333
nll_beta,0,2E1M,0.79
nll_beta,0,2EO4,1.021667
nll_beta,0,2EU9,1.28
nll_beta,0,2EXU,0.256667
nll_beta,0,2F1F,1.136667
nll_beta,0,2F2E,1.328333
nll_beta,0,2F8L,1.288333
nll_beta,0,2F9I,2.253333
nll_beta,0,2F9Z,0.913333
nll_beta,0,2FEX,2.88
nll_beta,0,2FFF,1.661667
nll_beta,0,2FH9,0.523333
nll_beta,0,2FTX,0.578333
nll_beta,0,2G9W,0.528333
nll_beta,0,2GA1,0.965
nll_beta,0,2GA9,2.048333
nll_beta,0,2GD9,0.638333
nll_beta,0,2GT1,2.111667
nll_beta,0,2GUH,1.821667
nll_beta,0,2HXW,1.796667
nll_beta,0,2I53,1.136667
nll_beta,0,2I7H,1.886667
nll_beta,0,2IJE,0.515
nll_beta,0,2IO7,1.581667
nll_beta,0,2IUC,0.996667
nll_beta,0,2IVF,2.79
nll_beta,0,2IVM,1.048333
nll_beta,0,2JAC,0.251667
nll_beta,0,2JBV,2.298333
nll_beta,0,2JFN,0.756667
nll_beta,0,2JH3,5.818333
nll_beta,0,2NLY,0.818333
nll_beta,0,2NN4,1.001667
nll_beta,0,2NTX,1.726667
nll_beta,0,2NVN,0.288333
nll_beta,0,2OD8,0.636667
nll_beta,0,2OO2,0.295
nll_beta,0,2OO3,0.518333
nll_beta,0,2P0U,1.353333
nll_beta,0,2P1L,0.906667
nll_beta,0,2P38,1.573333
nll_beta,0,2P62,1.88
nll_beta,0,2P8J,0.853333
nll_beta,0,2P8Q,2.63
nll_beta,0,2PAV,1.803333
nll_beta,0,2PJS,0.42
nll_beta,0,2PK9,2.773333
nll_beta,0,2PN0,2.198333
nll_beta,0,2PQN,0.403333
nll_beta,0,2PQV,1.275
nll_beta,0,2PY2,2.805
nll_beta,0,2Q1Z,0.838333
nll_beta,0,2QCO,0.468333
nll_beta,0,2QE9,0.776667
nll_beta,0,2QH9,0.743333
nll_beta,0,2QHL,3.445
nll_beta,0,2QKL,0.801667
nll_beta,0,2QL3,3.975
nll_beta,0,2QM7,1.861667
nll_beta,0,2QML,1.356667
nll_beta,0,2QOS,0.826667
nll_beta,0,2QSV,0.533333
nll_beta,0,2QYA,0.653333
nll_beta,0,2R5F,0.416667
nll_beta,0,2R6R,0.64
nll_beta,0,2RCC,4.001667
nll_beta,0,2RH3,0.7
nll_beta,0,2UZ8,0.651667
nll_beta,0,2V62,1.285
nll_beta,0,2VEF,1.77
nll_beta,0,2VUN,2.848333
nll_beta,0,2VZB,1.323333
nll_beta,0,2W3X,1.971667
nll_beta,0,2W9Y,0.386667
nll_beta,0,2WDZ,3.476667
